prompt_id,query,response,domain,is_hallucination,hallucination_type,risk_level,consistency_score,has_numeric_claim,has_named_entity,asks_about_person,asks_for_list,asks_specific_count,query_length,response_length,query_word_count,query_char_count,has_question_mark,question_type,demands_numeric,has_temporal_ref,demands_specificity,domain_academic,domain_finance,domain_medical,specificity_demand_score,length_bin,specificity_bin,semantic_consistency,semantic_consistency_min,semantic_consistency_std,lexical_overlap,numeric_variance,numeric_agreement,length_cv,composite_consistency,predicted_risk
15,Who painted the Mona Lisa?,Leonardo da Vinci painted the Mona Lisa.,art,False,none,low,0.985,False,True,1,0,False,5,7,5,26,1,person,0,0,0,0,0,0,0,short,low,0.7671197799847903,0.4833861070566742,0.17162172817251567,0.4,0.0,1.0,0.20756661635907966,0.7453345887221002,0.0
16,What is photosynthesis?,Photosynthesis is the process by which plants convert sunlight into energy using chlorophyll.,science,False,none,low,0.976,False,True,0,0,False,3,13,3,23,1,definition,0,0,0,0,0,0,0,short,low,0.9373194490429435,0.8955324150715728,0.051178455547102625,0.8,0.0,1.0,0.09930363822093966,0.9150670519729894,0.0
17,What is photosynthesis?,Photosynthesis is the process by which plants convert sunlight into energy using chlorophyll.,science,False,none,low,0.958,False,True,0,0,False,3,13,3,23,1,definition,0,0,0,0,0,0,0,short,low,0.8759576774945572,0.6898941937363926,0.15192019832404285,0.7647058823529411,0.0,1.0,0.11594202898550723,0.8801358416713098,0.0
18,Who painted the Mona Lisa?,Leonardo da Vinci painted the Mona Lisa.,art,False,none,low,0.965,False,True,1,0,False,5,7,5,26,1,person,0,0,0,0,0,0,0,short,low,0.9037608663558195,0.7594021658895489,0.11786838535787984,0.5454545454545454,0.0,1.0,0.15789473684210525,0.8390163082648158,0.0
19,Who painted the Mona Lisa?,Leonardo da Vinci painted the Mona Lisa.,art,False,none,low,0.977,False,True,1,0,False,5,7,5,26,1,person,0,0,0,0,0,0,0,short,low,0.8935654010748099,0.8226090017913498,0.08690348611483166,0.5454545454545454,0.0,1.0,0.17923095678901302,0.8306708781630305,0.0
20,Who wrote Romeo and Juliet?,William Shakespeare wrote Romeo and Juliet.,literature,False,none,low,0.951,False,True,1,0,False,5,6,5,27,1,person,0,0,0,0,0,0,0,short,low,0.7351912607695408,0.47973516643064146,0.1793812142005934,0.35714285714285715,0.0,1.0,0.2091650066335189,0.723672074409684,0.0
21,What is the capital of France?,The capital of France is Paris.,geography,False,none,low,0.989,False,True,0,0,False,6,6,6,30,1,definition,0,0,0,0,0,0,0,short,low,1.0000000000000002,1.0000000000000002,0.0,1.0,0.0,1.0,0.0,1.0,0.0
22,What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.,science,False,none,low,0.977,False,True,0,0,False,9,9,9,47,1,definition,0,0,0,0,0,0,0,medium,low,0.713172390814294,0.38553689184663903,0.2066981230489283,0.5,0.0,1.0,0.16764995936694896,0.7517389644523278,0.5568296795952787
23,What language is spoken in Brazil?,Portuguese is the official language of Brazil.,geography,False,none,low,0.971,False,True,0,0,False,6,7,6,34,1,other,0,0,0,0,0,0,0,short,low,0.823533924678283,0.5588348116957077,0.21612592072487466,0.6363636363636364,0.0,1.0,0.20512820512820515,0.8156606561183996,0.0
24,What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.,science,False,none,low,0.964,False,True,0,0,False,9,9,9,47,1,definition,0,0,0,0,0,0,0,medium,low,0.875957677494557,0.6898941937363925,0.1519201983240428,0.6666666666666666,0.0,1.0,0.125,0.8587164043311561,0.5568296795952787
25,What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.,science,False,none,low,0.937,False,True,0,0,False,9,9,9,47,1,definition,0,0,0,0,0,0,0,medium,low,0.7023619867167185,0.42651853863257677,0.19630968336722532,0.5,0.0,1.0,0.15212000482437738,0.750520793721812,0.5568296795952787
26,Who wrote Romeo and Juliet?,William Shakespeare wrote Romeo and Juliet.,literature,False,none,low,0.984,False,True,1,0,False,5,6,5,27,1,person,0,0,0,0,0,0,0,short,low,0.7431503163377098,0.4387719334857016,0.18738538897742532,0.35714285714285715,0.0,1.0,0.23561615911030664,0.7215654661415941,0.0
27,Who wrote Romeo and Juliet?,William Shakespeare wrote Romeo and Juliet.,literature,False,none,low,0.959,False,True,1,0,False,5,6,5,27,1,person,0,0,0,0,0,0,0,short,low,0.809511100402247,0.6825185006704115,0.1555335352262504,0.6,0.0,1.0,0.25784102555612404,0.7922362350496741,0.0
28,What is the chemical formula for water?,The chemical formula for water is H2O.,science,False,none,low,0.953,True,True,0,0,False,7,7,7,39,1,definition,0,0,0,0,0,0,0,short,low,0.8909081244200318,0.8181802073667197,0.0890731434180369,0.6,0.0,1.0,0.1670106642806712,0.8429611169118785,0.0
29,What is the chemical formula for water?,The chemical formula for water is H2O.,science,False,none,low,0.996,True,True,0,0,False,7,7,7,39,1,definition,0,0,0,0,0,0,0,short,low,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
30,Who painted the Mona Lisa?,Leonardo da Vinci painted the Mona Lisa.,art,False,none,low,0.951,False,True,1,0,False,5,7,5,26,1,person,0,0,0,0,0,0,0,short,low,0.8546140260163442,0.6365350650408603,0.17806072600875364,0.6363636363636364,0.0,1.0,0.20512820512820515,0.8280926966536241,0.0
31,What is the chemical formula for water?,The chemical formula for water is H2O.,science,False,none,low,0.986,True,True,0,0,False,7,7,7,39,1,definition,0,0,0,0,0,0,0,short,low,0.7131723908142941,0.38553689184663903,0.2066981230489283,0.42857142857142855,0.0,1.0,0.20756661635907966,0.7294699187681875,0.0
32,What language is spoken in Brazil?,Portuguese is the official language of Brazil.,geography,False,none,low,0.995,False,True,0,0,False,6,7,6,34,1,other,0,0,0,0,0,0,0,short,low,0.875957677494557,0.6898941937363925,0.15192019832404283,0.6,0.0,1.0,0.15789473684210525,0.8388041236294018,0.0
33,What is the boiling point of water?,Water boils at 100 degrees Celsius or 212 degrees Fahrenheit at standard pressure.,science,False,none,low,0.924,True,True,0,0,False,7,13,7,35,1,definition,0,0,0,0,0,0,0,short,low,0.9037608663558198,0.7594021658895491,0.11786838535787972,0.7333333333333333,56.0,1.0,0.11594202898550723,0.8849826074118933,0.0
34,What is the chemical formula for water?,The chemical formula for water is H2O.,science,False,none,low,0.923,True,True,0,0,False,7,7,7,39,1,definition,0,0,0,0,0,0,0,short,low,0.8579369749765926,0.7632282916276542,0.11599397420786221,0.6,0.0,1.0,0.17923095678901302,0.8273285986328345,0.0
35,What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.,science,False,none,low,0.935,False,True,0,0,False,9,9,9,47,1,definition,0,0,0,0,0,0,0,medium,low,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5568296795952787
36,Who wrote Romeo and Juliet?,William Shakespeare wrote Romeo and Juliet.,literature,False,none,low,0.976,False,True,1,0,False,5,6,5,27,1,person,0,0,0,0,0,0,0,short,low,0.8916652414571589,0.7291631036428967,0.13268243991879114,0.5,0.0,1.0,0.18181818181818182,0.8203024602192273,0.0
37,What is the capital of France?,The capital of France is Paris.,geography,False,none,low,0.992,False,True,0,0,False,6,6,6,30,1,definition,0,0,0,0,0,0,0,short,low,0.6742568843784629,0.32083992439256703,0.23117486498592976,0.38461538461538464,0.0,1.0,0.23561615911030664,0.6995025988524007,0.0
38,What is the capital of France?,The capital of France is Paris.,geography,False,none,low,0.945,False,True,0,0,False,6,6,6,30,1,definition,0,0,0,0,0,0,0,short,low,1.0000000000000002,1.0000000000000002,0.0,1.0,0.0,1.0,0.0,1.0,0.0
39,What is photosynthesis?,Photosynthesis is the process by which plants convert sunlight into energy using chlorophyll.,science,False,none,low,0.965,False,True,0,0,False,3,13,3,23,1,definition,0,0,0,0,0,0,0,short,low,1.0000000000000002,1.0000000000000002,0.0,1.0,0.0,1.0,0.0,1.0,0.0
40,Who painted the Mona Lisa?,Leonardo da Vinci painted the Mona Lisa.,art,False,none,low,0.99,False,True,1,0,False,5,7,5,26,1,person,0,0,0,0,0,0,0,short,low,1.0000000000000002,1.0000000000000002,0.0,1.0,0.0,1.0,0.0,1.0,0.0
41,What is photosynthesis?,Photosynthesis is the process by which plants convert sunlight into energy using chlorophyll.,science,False,none,low,0.96,False,True,0,0,False,3,13,3,23,1,definition,0,0,0,0,0,0,0,short,low,0.9212336763911637,0.8030841909779091,0.09646865087829269,0.8,0.0,1.0,0.08823529411764706,0.9108464117329362,0.0
42,What language is spoken in Brazil?,Portuguese is the official language of Brazil.,geography,False,none,low,0.997,False,True,0,0,False,6,7,6,34,1,other,0,0,0,0,0,0,0,short,low,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
43,What is the capital of France?,The capital of France is Paris.,geography,False,none,low,0.927,False,True,0,0,False,6,6,6,30,1,definition,0,0,0,0,0,0,0,short,low,1.0000000000000002,1.0000000000000002,0.0,1.0,0.0,1.0,0.0,1.0,0.0
44,What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.,science,False,none,low,0.979,False,True,0,0,False,9,9,9,47,1,definition,0,0,0,0,0,0,0,medium,low,0.7846332695047076,0.6410554491745127,0.17584619909498928,0.6923076923076923,0.0,1.0,0.18486715039873042,0.8153414161836754,0.5568296795952787
45,What is the chemical formula for water?,The chemical formula for water is H2O.,science,False,none,low,0.947,True,True,0,0,False,7,7,7,39,1,definition,0,0,0,0,0,0,0,short,low,0.875957677494557,0.6898941937363925,0.1519201983240428,0.6,0.0,1.0,0.15789473684210525,0.8388041236294018,0.0
46,What is the chemical formula for water?,The chemical formula for water is H2O.,science,False,none,low,0.975,True,True,0,0,False,7,7,7,39,1,definition,0,0,0,0,0,0,0,short,low,0.7131723908142938,0.38553689184663903,0.2066981230489283,0.42857142857142855,0.0,1.0,0.20756661635907966,0.7294699187681872,0.0
47,What is the capital of France?,The capital of France is Paris.,geography,False,none,low,0.958,False,True,0,0,False,6,6,6,30,1,definition,0,0,0,0,0,0,0,short,low,0.6742568843784629,0.32083992439256703,0.2311748649859298,0.38461538461538464,0.0,1.0,0.23561615911030664,0.6995025988524007,0.0
48,What language is spoken in Brazil?,Portuguese is the official language of Brazil.,geography,False,none,low,0.956,False,True,0,0,False,6,7,6,34,1,other,0,0,0,0,0,0,0,short,low,0.713172390814294,0.38553689184663903,0.2066981230489283,0.42857142857142855,0.0,1.0,0.20756661635907966,0.7294699187681875,0.0
49,What is the chemical formula for water?,The chemical formula for water is H2O.,science,False,none,low,0.985,True,True,0,0,False,7,7,7,39,1,definition,0,0,0,0,0,0,0,short,low,0.875957677494557,0.6898941937363925,0.1519201983240428,0.6,0.0,1.0,0.15789473684210525,0.8388041236294018,0.0
50,What is the capital of France?,The capital of France is Paris.,geography,False,none,low,0.922,False,True,0,0,False,6,6,6,30,1,definition,0,0,0,0,0,0,0,short,low,1.0000000000000002,1.0000000000000002,0.0,1.0,0.0,1.0,0.0,1.0,0.0
51,Who painted the Mona Lisa?,Leonardo da Vinci painted the Mona Lisa.,art,False,none,low,0.938,False,True,1,0,False,5,7,5,26,1,person,0,0,0,0,0,0,0,short,low,1.0000000000000002,1.0000000000000002,0.0,1.0,0.0,1.0,0.0,1.0,0.0
52,What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.,science,False,none,low,0.925,False,True,0,0,False,9,9,9,47,1,definition,0,0,0,0,0,0,0,medium,low,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5568296795952787
53,What language is spoken in Brazil?,Portuguese is the official language of Brazil.,geography,False,none,low,0.928,False,True,0,0,False,6,7,6,34,1,other,0,0,0,0,0,0,0,short,low,0.6828531048667978,0.4422604322485714,0.18000591778351208,0.42857142857142855,0.0,1.0,0.19924242151981916,0.7190070433570409,0.0
54,What is the chemical formula for water?,The chemical formula for water is H2O.,science,False,none,low,0.952,True,True,0,0,False,7,7,7,39,1,definition,0,0,0,0,0,0,0,short,low,0.875957677494557,0.6898941937363925,0.1519201983240428,0.6,0.0,1.0,0.15789473684210525,0.8388041236294018,0.0
55,What language is spoken in Brazil?,Portuguese is the official language of Brazil.,geography,False,none,low,0.926,False,True,0,0,False,6,7,6,34,1,other,0,0,0,0,0,0,0,short,low,0.875957677494557,0.6898941937363925,0.15192019832404283,0.6,0.0,1.0,0.15789473684210525,0.8388041236294018,0.0
56,What is photosynthesis?,Photosynthesis is the process by which plants convert sunlight into energy using chlorophyll.,science,False,none,low,0.993,False,True,0,0,False,3,13,3,23,1,definition,0,0,0,0,0,0,0,short,low,1.0000000000000002,1.0000000000000002,0.0,1.0,0.0,1.0,0.0,1.0,0.0
57,What is the boiling point of water?,Water boils at 100 degrees Celsius or 212 degrees Fahrenheit at standard pressure.,science,False,none,low,0.984,True,True,0,0,False,7,13,7,35,1,definition,0,0,0,0,0,0,0,short,low,0.8493585955282684,0.6495091550523407,0.1150653392853428,0.5263157894736842,56.0,1.0,0.12108052620946315,0.8207904908641517,0.0
58,Who painted the Mona Lisa?,Leonardo da Vinci painted the Mona Lisa.,art,False,none,low,0.996,False,True,1,0,False,5,7,5,26,1,person,0,0,0,0,0,0,0,short,low,0.829055213891045,0.7150920231517414,0.1395758333853834,0.6363636363636364,0.0,1.0,0.2278595109565747,0.8133229106378305,0.0
59,Who painted the Mona Lisa?,Leonardo da Vinci painted the Mona Lisa.,art,False,none,low,0.974,False,True,1,0,False,5,7,5,26,1,person,0,0,0,0,0,0,0,short,low,0.8935654010748099,0.8226090017913498,0.08690348611483166,0.5454545454545454,0.0,1.0,0.17923095678901302,0.8306708781630305,0.0
60,What is the boiling point of water?,Water boils at 100 degrees Celsius or 212 degrees Fahrenheit at standard pressure.,science,False,none,low,0.969,True,True,0,0,False,7,13,7,35,1,definition,0,0,0,0,0,0,0,short,low,0.8935654010748099,0.8226090017913498,0.08690348611483169,0.7333333333333333,56.0,1.0,0.13421861604291388,0.8772491038880079,0.0
61,What is the boiling point of water?,Water boils at 100 degrees Celsius or 212 degrees Fahrenheit at standard pressure.,science,False,none,low,0.978,True,True,0,0,False,7,13,7,35,1,definition,0,0,0,0,0,0,0,short,low,0.8493585955282684,0.6495091550523407,0.1150653392853428,0.5263157894736842,56.0,1.0,0.12108052620946315,0.8207904908641517,0.0
62,What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.,science,False,none,low,0.934,False,True,0,0,False,9,9,9,47,1,definition,0,0,0,0,0,0,0,medium,low,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5568296795952787
63,What is the boiling point of water?,Water boils at 100 degrees Celsius or 212 degrees Fahrenheit at standard pressure.,science,False,none,low,0.971,True,True,0,0,False,7,13,7,35,1,definition,0,0,0,0,0,0,0,short,low,0.8493585955282683,0.6495091550523407,0.1150653392853428,0.5263157894736842,56.0,1.0,0.12108052620946315,0.8207904908641517,0.0
64,What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.,science,False,none,low,0.978,False,True,0,0,False,9,9,9,47,1,definition,0,0,0,0,0,0,0,medium,low,0.7846332695047076,0.6410554491745127,0.17584619909498928,0.6923076923076923,0.0,1.0,0.18486715039873042,0.8153414161836754,0.5568296795952787
65,What is the capital of France?,The capital of France is Paris.,geography,False,none,low,0.957,False,True,0,0,False,6,6,6,30,1,definition,0,0,0,0,0,0,0,short,low,0.6742568843784629,0.32083992439256703,0.23117486498592976,0.38461538461538464,0.0,1.0,0.23561615911030664,0.6995025988524007,0.0
66,Who painted the Mona Lisa?,Leonardo da Vinci painted the Mona Lisa.,art,False,none,low,0.989,False,True,1,0,False,5,7,5,26,1,person,0,0,0,0,0,0,0,short,low,0.9037608663558195,0.7594021658895489,0.11786838535787984,0.5454545454545454,0.0,1.0,0.15789473684210525,0.8390163082648158,0.0
67,What is the capital of France?,The capital of France is Paris.,geography,False,none,low,0.936,False,True,0,0,False,6,6,6,30,1,definition,0,0,0,0,0,0,0,short,low,1.0000000000000002,1.0000000000000002,0.0,1.0,0.0,1.0,0.0,1.0,0.0
68,What is the boiling point of water?,Water boils at 100 degrees Celsius or 212 degrees Fahrenheit at standard pressure.,science,False,none,low,0.994,True,True,0,0,False,7,13,7,35,1,definition,0,0,0,0,0,0,0,short,low,0.9390560101964509,0.8984266836607512,0.049760559302692305,0.6666666666666666,56.0,1.0,0.1034995665964723,0.8882558240926193,0.0
69,What is the capital of France?,The capital of France is Paris.,geography,False,none,low,0.921,False,True,0,0,False,6,6,6,30,1,definition,0,0,0,0,0,0,0,short,low,0.8546140260163442,0.6365350650408604,0.17806072600875356,0.5555555555555556,0.0,1.0,0.18181818181818182,0.8165930851540124,0.0
70,What is photosynthesis?,Photosynthesis is the process by which plants convert sunlight into energy using chlorophyll.,science,False,none,low,0.938,False,True,0,0,False,3,13,3,23,1,definition,0,0,0,0,0,0,0,short,low,1.0000000000000002,1.0000000000000002,0.0,1.0,0.0,1.0,0.0,1.0,0.0
71,What is the boiling point of water?,Water boils at 100 degrees Celsius or 212 degrees Fahrenheit at standard pressure.,science,False,none,low,0.984,True,True,0,0,False,7,13,7,35,1,definition,0,0,0,0,0,0,0,short,low,1.0000000000000002,1.0000000000000002,0.0,1.0,56.0,1.0,0.0,1.0,0.0
72,What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.,science,False,none,low,1.0,False,True,0,0,False,9,9,9,47,1,definition,0,0,0,0,0,0,0,medium,low,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5568296795952787
73,What language is spoken in Brazil?,Portuguese is the official language of Brazil.,geography,False,none,low,0.935,False,True,0,0,False,6,7,6,34,1,other,0,0,0,0,0,0,0,short,low,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
74,Who wrote Romeo and Juliet?,William Shakespeare wrote Romeo and Juliet.,literature,False,none,low,0.943,False,True,1,0,False,5,6,5,27,1,person,0,0,0,0,0,0,0,short,low,0.8406989225283608,0.6017473063209019,0.19510317764054447,0.6,0.0,1.0,0.23529411764705888,0.8092207454819326,0.0
75,What is the chemical formula for water?,The chemical formula for water is H2O.,science,False,none,low,0.942,True,True,0,0,False,7,7,7,39,1,definition,0,0,0,0,0,0,0,short,low,0.713172390814294,0.38553689184663903,0.2066981230489283,0.42857142857142855,0.0,1.0,0.20756661635907966,0.7294699187681875,0.0
76,What is the chemical formula for water?,The chemical formula for water is H2O.,science,False,none,low,0.938,True,True,0,0,False,7,7,7,39,1,definition,0,0,0,0,0,0,0,short,low,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
77,What is photosynthesis?,Photosynthesis is the process by which plants convert sunlight into energy using chlorophyll.,science,False,none,low,0.994,False,True,0,0,False,3,13,3,23,1,definition,0,0,0,0,0,0,0,short,low,0.8579369749765926,0.7632282916276542,0.1159939742078623,0.7647058823529411,0.0,1.0,0.13421861604291388,0.8692722432526425,0.0
78,What language is spoken in Brazil?,Portuguese is the official language of Brazil.,geography,False,none,low,0.971,False,True,0,0,False,6,7,6,34,1,other,0,0,0,0,0,0,0,short,low,0.875957677494557,0.6898941937363925,0.1519201983240428,0.6,0.0,1.0,0.15789473684210525,0.8388041236294018,0.0
79,Who wrote Romeo and Juliet?,William Shakespeare wrote Romeo and Juliet.,literature,False,none,low,0.991,False,True,1,0,False,5,6,5,27,1,person,0,0,0,0,0,0,0,short,low,0.8916652414571589,0.7291631036428967,0.13268243991879117,0.5,0.0,1.0,0.18181818181818182,0.8203024602192273,0.0
80,What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.,science,False,none,low,0.931,False,True,0,0,False,9,9,9,47,1,definition,0,0,0,0,0,0,0,medium,low,0.875957677494557,0.6898941937363925,0.1519201983240428,0.6666666666666666,0.0,1.0,0.125,0.8587164043311561,0.5568296795952787
81,What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.,science,False,none,low,0.95,False,True,0,0,False,9,9,9,47,1,definition,0,0,0,0,0,0,0,medium,low,0.713172390814294,0.38553689184663903,0.2066981230489283,0.5,0.0,1.0,0.16764995936694896,0.7517389644523278,0.5568296795952787
82,What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.,science,False,none,low,0.974,False,True,0,0,False,9,9,9,47,1,definition,0,0,0,0,0,0,0,medium,low,0.875957677494557,0.6898941937363925,0.1519201983240428,0.6666666666666666,0.0,1.0,0.125,0.8587164043311561,0.5568296795952787
83,What is photosynthesis?,Photosynthesis is the process by which plants convert sunlight into energy using chlorophyll.,science,False,none,low,0.995,False,True,0,0,False,3,13,3,23,1,definition,0,0,0,0,0,0,0,short,low,0.9212336763911637,0.8030841909779091,0.09646865087829269,0.8,0.0,1.0,0.08823529411764706,0.9108464117329362,0.0
84,Who wrote Romeo and Juliet?,William Shakespeare wrote Romeo and Juliet.,literature,False,none,low,0.975,False,True,1,0,False,5,6,5,27,1,person,0,0,0,0,0,0,0,short,low,1.0000000000000002,1.0000000000000002,0.0,1.0,0.0,1.0,0.0,1.0,0.0
85,What language is spoken in Brazil?,Portuguese is the official language of Brazil.,geography,False,none,low,0.974,False,True,0,0,False,6,7,6,34,1,other,0,0,0,0,0,0,0,short,low,0.875957677494557,0.6898941937363925,0.1519201983240428,0.6,0.0,1.0,0.15789473684210525,0.8388041236294018,0.0
86,What is photosynthesis?,Photosynthesis is the process by which plants convert sunlight into energy using chlorophyll.,science,False,none,low,0.942,False,True,0,0,False,3,13,3,23,1,definition,0,0,0,0,0,0,0,short,low,0.8759576774945572,0.6898941937363926,0.15192019832404285,0.7647058823529411,0.0,1.0,0.11594202898550723,0.8801358416713098,0.0
87,What is the boiling point of water?,Water boils at 100 degrees Celsius or 212 degrees Fahrenheit at standard pressure.,science,False,none,low,0.949,True,True,0,0,False,7,13,7,35,1,definition,0,0,0,0,0,0,0,short,low,1.0000000000000002,1.0000000000000002,0.0,1.0,56.0,1.0,0.0,1.0,0.0
88,What is photosynthesis?,Photosynthesis is the process by which plants convert sunlight into energy using chlorophyll.,science,False,none,low,0.929,False,True,0,0,False,3,13,3,23,1,definition,0,0,0,0,0,0,0,short,low,0.9373194490429435,0.8955324150715728,0.051178455547102625,0.8,0.0,1.0,0.09930363822093966,0.9150670519729894,0.0
89,What is the chemical formula for water?,The chemical formula for water is H2O.,science,False,none,low,0.962,True,True,0,0,False,7,7,7,39,1,definition,0,0,0,0,0,0,0,short,low,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
90,Who painted the Mona Lisa?,Leonardo da Vinci painted the Mona Lisa.,art,False,none,low,0.99,False,True,1,0,False,5,7,5,26,1,person,0,0,0,0,0,0,0,short,low,0.8935654010748099,0.8226090017913498,0.08690348611483166,0.5454545454545454,0.0,1.0,0.17923095678901305,0.8306708781630305,0.0
